DATE,NAEXKP07INQ652S
1996-04-01,770200072848.732
1996-07-01,917760675993.724
1996-10-01,908462603642.316
1997-01-01,942204664942.709
1997-04-01,915694437693.411
1997-07-01,901406204918.605
1997-10-01,999435567298.548
1998-01-01,1189217605900.8801
1998-04-01,1321183957722.75
1998-07-01,1224519092333.5798
1998-10-01,1175260750966.69
1999-01-01,1119803694698.85
1999-04-01,1142766229772.14
1999-07-01,1233368829959.45
1999-10-01,1331222757012.01
2000-01-01,1471921889574.8298
2000-04-01,1263758127225.3699
2000-07-01,1342255689823.11
2000-10-01,1410129668706.98
2001-01-01,1397205932922.95
2001-04-01,1409876262122.98
2001-07-01,1410207639963.59
2001-10-01,1356095587872.3801
2002-01-01,1387927353385.69
2002-04-01,1423384782331.6301
2002-07-01,1507671710733.07
2002-10-01,1579834108730.7998
2003-01-01,1737238583023.5
2003-04-01,1676732887889.81
2003-07-01,1698857231954.48
2003-10-01,1774235944287.6
2004-01-01,1961600873934.8499
2004-04-01,1804265786218.3801
2004-07-01,2223830479622.2803
2004-10-01,2521262442541.06
2005-01-01,2552482331446.2
2005-04-01,2865188236598.18
2005-07-01,2856809345598.89
2005-10-01,3097238007456.4897
2006-01-01,3248681334810.08
2006-04-01,3549788908451.41
2006-07-01,3757474842944.69
2006-10-01,3650173215068.7197
2007-01-01,3702733756041.73
2007-04-01,3616734126757.05
2007-07-01,3802407109555.52
2007-10-01,4085762820993.21
2008-01-01,4649564415490.899
2008-04-01,4848054996906.97
2008-07-01,5568722522427.21
2008-10-01,5095447354053.65
2009-01-01,4311499319938.01
2009-04-01,4427297394066.03
2009-07-01,4651963261333.159
2009-10-01,5100374542222.02
2010-01-01,5220628051006.46
2010-04-01,5496289462498.31
2010-07-01,5488948469593.06
2010-10-01,5584212981433.09
2011-01-01,5858937828703.689
2011-04-01,6438062866000.0
2011-07-01,6406335732000.0
2011-10-01,7139205627000.0
2012-01-01,7171935775000.0
2012-04-01,6777195853000.0
2012-07-01,7454137412000.0
2012-10-01,7360316048000.0
2013-01-01,7199142082000.0
2013-04-01,6573633764000.0
2013-07-01,6845524919000.0
2013-10-01,6325406644000.0
2014-01-01,6700985507000.0
2014-04-01,6632048895000.0
2014-07-01,6816714257000.0
2014-10-01,6806461549000.0
2015-01-01,6420727909000.0
2015-04-01,6249020403000.0
2015-07-01,6569329698000.0
2015-10-01,6143295465000.0
2016-01-01,6153752164000.0
2016-04-01,6274528539000.0
2016-07-01,6562413994000.0
2016-10-01,6795570113000.0
2017-01-01,6583415166000.0
2017-04-01,7638283949000.0
2017-07-01,7256042118000.0
2017-10-01,7753297864000.0
2018-01-01,8135114147000.0
2018-04-01,8040002749000.0
2018-07-01,8569146772000.0
2018-10-01,8692028103000.001
2019-01-01,8197428086000.0
2019-04-01,8779014445999.999
2019-07-01,8379494006000.001
2019-10-01,8075965469000.0
2020-01-01,7983093134000.0
2020-04-01,5176507144000.0
2020-07-01,6896546048000.0
2020-10-01,7664911821000.0
2021-01-01,8937066491000.0
2021-04-01,7494006035000.0
2021-07-01,8730142201000.001
2021-10-01,9171877922000.0
2022-01-01,9537234143000.0
2022-04-01,10015712900000.0
2022-07-01,10744954280000.0
2022-10-01,10149976120000.0
2023-01-01,10003106330000.0
